115,S000157             ,MJBTBR30F2K210626   ,B8627FA,B -8627-FA ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25067655       ,2003-05-01,          
116,S000158             ,MJBTBR30F2K210595   ,B8628FA,B -8628-FA ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073652       ,2003-05-01,          
117,S000159             ,MJBTBR30F2K210596   ,B8629FA,B -8629-FA ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073638       ,2003-05-01,          
118,S000160             ,MJBTBR30F2K210872   ,B8630FA,B -8630-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079182       ,2003-05-01,          
119,S000161             ,MJBTBR30F2K210880   ,B8640FA,B -8640-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079204       ,2003-05-01,          
120,S000162             ,MJBTBR30F2K210628   ,B8641FA,B -8641-FA ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073596       ,2003-05-01,          
121,S000163             ,MJBTBR30F2K210878   ,B8642FA,B -8642-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079177       ,2003-05-01,          
122,S000164             ,MJBTBR30F2K210885   ,B8645FA,B -8645-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079132       ,2003-05-01,          
123,S000165             ,MJBTBR30F2K210873   ,B8646FA,B -8646-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079178       ,2003-05-01,          
124,S000166             ,MJBTBR30F2K210629   ,B8648FA,B -8648-FA ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073604       ,2003-05-01,          
125,S000167             ,MJBTBR30F2K210502   ,B8671PE,B -8671-PE ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25069383       ,2003-05-01,          
126,S000168             ,MJBTBR30F3K211022   ,B8678PE,B -8678-PE ,CHV-TVR22B-MT  ,2003,Merah Metalik       ,C22NE25079231       ,2003-05-01,          
127,S000169             ,MJBTBR30F3K210979   ,B8681PE,B -8681-PE ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25080633       ,2003-05-01,          
128,S000170             ,MJBTBR30F2K210642   ,B8682EK,B -8682-EK ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25073639       ,2003-05-01,          
129,S000171             ,MJBTBR30F3K210961   ,B8683EK,B -8683-EK ,CHV-TVR22B-MT  ,2003,Merah Metalik       ,C22NE25079191       ,2003-05-01,          
130,S000172             ,MJBTBR30F3K211010   ,B8683PE,B -8683-PE ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25080605       ,2003-05-01,          
131,S000173             ,MJBTBR30F3K210972   ,B8684EK,B -8684-EK ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25079209       ,2003-06-01,          
132,S000174             ,MJBTBR30F3K211031   ,B8684PE,B -8684-PE ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25080566       ,2003-05-01,          
133,S000175             ,MJBTBR30F2K210749   ,B8685EK,B -8685-EK ,CHV-TVR22B-MT  ,2003,Silver Metalik      ,C22NE25076815       ,2003-05-01,          
134,S000176             ,MJBTBR30F2K210598   ,B8735AW,B -8735-AW ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073698       ,2003-05-01,          
135,S000177             ,MJBTBR30F2K210594   ,B8736LA,B -8736-LA ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073651       ,2003-05-01,          
136,S000178             ,MJBTBR30F2K210577   ,B8738PE,B -8738-PE ,CHV-TVR22B-MT  ,2003,Biru Metalik        ,C22NE25073689       ,2003-05-01,          
137,S000179             ,MJBTBR30F2K210736   ,B8744FA,B -8744-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25073704       ,2003-05-01,          
138,S000180             ,MJBTBR30F2K210507   ,B8745FA,B -8745-FA ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25069334       ,2003-05-01,          
139,S000181             ,MJBTBR30F2K210791   ,B8746FA,B -8746-FA ,CHV-TVR22B-MT  ,2003,Silver Metalik      ,C22NE25076849       ,2003-05-01,          
140,S000182             ,MJBTBR30F2K210701   ,B8753FA,B -8753-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076801       ,2003-05-01,          
141,S000183             ,MJBTBR30F2K210665   ,B8755FA,B -8755-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25073608       ,2003-05-01,          
142,S000184             ,MJBTBR30F2K210702   ,B8759FA,B -8759-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076876       ,2003-05-01,          
143,S000185             ,MJBTBR30F2K210761   ,B8761FA,B -8761-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076868       ,2003-05-01,          
144,S000186             ,MJBTBR30F2K210738   ,B8762FA,B -8762-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25077227       ,2003-05-01,          
145,S000187             ,MJBTBR30F2K210664   ,B8765FA,B -8765-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25073642       ,2003-05-01,          
146,S000188             ,MJBTBR30F2K210508   ,B8766FA,B -8766-FA ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25069329       ,2003-05-01,          
147,S000189             ,MJBTBR30F2K210731   ,B8770FA,B -8770-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25073703       ,2003-05-01,          
148,S000190             ,MJBTBR30F2K210509   ,B8771FA,B -8771-FA ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25069375       ,2003-05-01,          
149,S000191             ,MJBTBR30F2K210668   ,B8773FA,B -8773-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25073655       ,2003-05-01,          
150,S000192             ,MJBTBR30F3K210968   ,B8777PE,B -8777-PE ,CHV-TVR22B-MT  ,2003,Merah Metalik       ,C22NE25079225       ,2003-05-01,          
151,S000193             ,MJBTBR30F3K210970   ,B8786PE,B -8786-PE ,CHV-TVR22B-MT  ,2003,Merah Metalik       ,C22NE25079122       ,2003-05-01,          
152,S000194             ,MJBTBR30F3K210995   ,B8794PE,B -8794-PE ,CHV-TVR22B-MT  ,2003,Abu-abu Tua Metalik ,C22NE25080623       ,2003-05-01,          
153,S000195             ,MJBTBR30F3K210969   ,B8797PE,B -8797-PE ,CHV-TVR22B-MT  ,2003,Merah Metalik       ,C22NE25080599       ,2003-05-01,          
154,S000196             ,MJBTBR30F2K210621   ,B8798FA,B -8798-FA ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073583       ,2003-05-01,          
155,S000197             ,MJBTBR30F3K211016   ,B8798PE,B -8798-PE ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25080629       ,2003-05-01,          
156,S000198             ,MJBTBR30F3K211009   ,B8804PE,B -8804-PE ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25080600       ,2003-05-01,          
157,S000199             ,MJBTBR30F3K210994   ,B8805PE,B -8805-PE ,CHV-TVR22B-MT  ,2003,Abu-abu Tua Metalik ,C22NE25080624       ,2003-05-01,          
158,S000200             ,MJBTBR30F3K211012   ,B8806PE,B -8806-PE ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25079135       ,2003-05-01,          
159,S000201             ,MJBTBR30F3K211008   ,B8807PE,B -8807-PE ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25079180       ,2003-05-01,          
