369,CONPHILJKT,CONOCOPHILLIPS (JAKARTA) LTD                                                    
370,COPHILSJKT,BUT.CONOCOPHILLIPS INDONESIA INC. LTD                                           
371,COOPERSUKN,BUT COOPER ENERGY SUKANANTI LIMITED                                             
372,PERMIEPTRK,PT. PERTAMINA EP ASSET 5 - FIELD TARAKAN                                        
373,BPKAPUAS..,BUT.BP KAPUAS                                                                   
374,KRISENERGY,KRISENERGY KUTEI B.V                                                            
375,MALACCASTR,EMP MALACCA STRAIT S.A                                                          
376,EMPMALACST,BUT.EMP MALACCA STRAIT S.A                                                      
377,POSINDONES,PT.POS INDONESIA (PERSERO)                                                      
378,SALAMANDER,SALAMANDER ENERGY (BANGKANAI) LTD                                               
379,OTHERSHUTT,OTHERSHUTT                                                                      
380,KHIPIPEIND,PT.KHI PIPE INDUSTRIES                                                          
381,MAXIMAENDO,PT.MAXIMA ENERGI INDOKEMIKA                                                     
382,PDAMTIRTAB,PDAM TIRTA BENTENG KOTA TANGERANG                                               
383,PERTAGEKMG,PT. PERTAMINA GEOTHERMAL ENERGY KAMOJANG                                        
384,KSTEELENGC,PT. KRAKATAU ENGINEERING                                                        
385,PERMINABPN,PT.PERTAMINA (PERSERO) REFINERY UNIT V BALIKPAPAN                               
386,PERMIEPSTK,KSO PT.PERTAMINA EP - PT.SANTIKA PENDOPO ENERGY                                 
387,ENIMUARABU,ENI MUARA BAKAU B.V.                                                            
388,JAMKSUMSEL,PT. JAKARTA INTERNATIONAL CONTAINER TERMINAL                                    
389,PERMIRUBAL,PT. PERTAMINA ( PERSERO ) RU VI                                                 
390,PERMIEPSGT,PT PERTAMINA ASSET 5                                                            
391,OGANINTGAS,PT. OGAN INTERIOR GAS                                                           
392,ADIBARANUS,PT.ADIMITRA BARATAMA NUSANTARA                                                  
393,CITRANALCO,PT. CITRA NALCO INDONESIA                                                       
394,BPWESTARUI,BUT. BP WEST ARU I LIMITED                                                      
395,NUSANREGAS,PT. NUSANTARA REGAS                                                             
396,KSTEELKONS,PT. KRAKATAU KONSULTAN                                                          
397,PLNLAMPUNG,PT. PLN (PERSERO) DISTRIBUSI LAMPUNG                                            
398,PGNPERSERO,PT PERUSAHAAN GAS NEGARA  (PERSERO) TBK                                         
399,PLNCIREBON,PT. PLN ( PERSERO) DISTRIBUSI JABAR DAN BANTEN                                  
400,JASASURGEM,PT. JASA MARGA (PERSERO) TBK.CABANG SURABAYA-GEMPOL                             
401,PERMIETAMB,PT. PERTAMINA EP ASSET 3 FIELD TAMBUN                                           
402,PERMINALNG,PT. PERTAMINA LNG - JMG                                                         
403,PERMINASHI,PT. PERTAMINA SHIPS                                                             
404,PGNPROYEK.,PT. PERUSAHAAN GAS NEGARA (PERSERO) TBK PROYEK                                  
405,PGNKANTPUS,PT. PERUSAHAAN GAS NEGARA (PERSERO) TBK                                         
406,PGNSBUDIST,PT. PERUSAHAAN GAS NEGARA (PERSERO) TBK.                                        
407,CITRANUSAN,PT. CITRA NUSANTARA GEMILANG                                                    
408,OTHER3,OTHERS                                                                          
409,OTHERSBPEX,OTHERSBPEX                                                                      
410,SUMARYANTO,SUMARYANTO C/O VICO INDONESIA                                                   
411,PLNTKARANG,PT.PLN (PERSERO) DISTRIBUSI LAMPUNG AREA TANJUNG KARANG                         
